original_term,replacement
ketidaksiapan,ketidaksiapan
muspika,musyawarah pimpinan kecamatan
kiyai,kiai
supriyanto,supriyanto
ngos,ngos ngosan
bappeda,badan perencanaan pembangunan daerah
eee,eh
satlantas,satuan lalu lintas
mane,mana
neken,menekan
ngunu,begitu
triliyunan,triliunan
mapel,mata pelajaran
death,kematian
karno,soekarno
syariah,syariah
benernya,benarnya
nyemil,mengudap
toxic,beracun
ngepress,menekan
kavling,kaveling
italy,italia
penanggungjawab,penanggung jawab
parenting,pengasuhan
kabag,kepala bagian
litbang,penelitian dan pengembangan
sdmnya,sumber daya manusianya
pam,perusahaan air minum
siapaaa,siapa
nyebat,merokok
law,hukum
studies,studi
tsbt,tersebut
posted,diunggah
horror,ngeri
magot,belatung
essay,esai
bbur,bubur
jon,kawan
statment,pernyataan
hhhh,tertawa
datun,perdata dan tata usaha negara
waketum,wakil ketua umum
diprioritasin,diprioritaskan
ledig,kotor
without,tanpa
gemborin,gembar gemborkan
diambilin,diambilkan
ngejek,mengejek
rob,banjir rob
nambang,menambang
didenger,didengar
apaaaaa,apa
nurut,menurut
oap,orang asli papua
wakakak,tertawa
undip,universitas diponegoro
futsal,futsal
sobatnet,sobat netizen
semangkin,semakin
kenyataanya,kenyataannya
happened,terjadi
ngacak,mengacak
aplgi,apa lagi
cookies,kue kering
iniiii,ini
uts,ujian tengah semester
disumbangin,disumbangkan
spanyol,spanyol
gorong,gorong gorong
hapal,hafal
pwnu,pengurus wilayah nahdlatul ulama
healthy,sehat
mnurut,menurut
credit,kredit
sky,langit
ppl,orang
failed,gagal
karbonya,karbohidratnya
dirut,direktur utama
march,maret
wat,apa
prototype,purwarupa
pntg,penting
korbanin,korbankan
feeling,perasaan
ditemuin,ditemukan
irwasum,inspektorat pengawasan umum
freebies,barang gratisan
bginian,beginian
outlet,gerai
saset,kemasan saset
local,lokal
diiming,diiming imingi
ipm,indeks pembangunan manusia
jelly,jeli
velocity,kecepatan
frisian,susu frisian flag
nular,menular
moncer,cemerlang
sekaliii,sekali
police,polisi
snbp,seleksi nasional berdasarkan prestasi
unpad,universitas padjadjaran
unesa,universitas negeri surabaya
konslet,korsleting
jbjb,ikut nimbrung
bunted,buntu
ketidakmampuan,ketidakmampuan
afford,mampu
kalean,kalian
ngidul,tidak tentu arah
manfat,manfaat
ding,sih
russia,rusia
nay,tidak
carmuk,cari muka
ketidakpuasan,ketidakpuasan
fruit,buah
fried,goreng
community,komunitas
menciptakn,menciptakan
roadmap,peta jalan
urg,saya
break,istirahat
nyekolahin,menyekolahkan
wkkwk,tertawa
antikorupsi,antikorupsi
ndakik,muluk muluk
menyalahgunakan,menyalahgunakan
indomy,indomie
tlah,telah
mewanti,mewanti wanti
piece,potong
brgizi,bergizi
pdf,dokumen pdf
gedhe,besar
absolute,mutlak
talking,bicara
smh,geleng kepala
umk,upah minimum kota
opportunity,kesempatan
guess,tebak
kopaja,angkutan umum kopaja
impossible,mustahil
toma,tokoh masyarakat
kamboja,kamboja
soekarno,soekarno
gur,cuma
beritasatu,berita satu
nyaingin,menyaingi
scrolling,menggulir
pbhi,perhimpunan bantuan hukum indonesia
ramen,mi jepang
choice,pilihan
hape,ponsel
kmna,ke mana
mrp,merupakan
ppji,perkumpulan penyelenggara jasaboga indonesia
mpls,masa pengenalan lingkungan sekolah
diposting,diunggah
discussion,diskusi
feeding,pemberian makan
iyo,iya
wamendiktisaintek,wakil menteri pendidikan tinggi sains dan teknologi
dtsen,dosen
ngurangi,mengurangi
gwehh,saya
chek,cek
aktifitas,aktivitas
mnjd,menjadi
sekolahrakyat,sekolah rakyat
kerenbanget,keren banget
code,kode
updatenya,pembaruannya
build,bangun
mengunakan,menggunakan
antaranews,antara news
dhewan,dewan
kuisioner,kuesioner
dislutkan,dinas kelautan dan perikanan
process,proses
rollback,kembalikan
onta,unta
music,musik
bale,balai
science,sains
freelance,pekerja lepas
inna,inna lillahi
ilaihi,ilahi
association,asosiasi
twiter,twitter
vol,volume
denga,dengan
allow,izinkan
attend,hadir
ambulance,ambulans
mart,pasar swalayan
commerce,perdagangan
daftarin,daftarkan
unhas,universitas hasanuddin
nembus,menembus
wholesome,menyehatkan
sick,sakit
perda,peraturan daerah
disepelein,disepelekan
ministry,kementerian
wamenkop,wakil menteri koperasi
yag,yang
yesss,ya
monjok,memukul
accounting,akuntansi
prabodoh,prabowo bodoh
bejalan,berjalan
congratulations,selamat
jml,jumlah
statementnya,pernyataannya
lactose,laktosa
makann,makan
ngeributin,meributkan
orkay,orang kaya
dessert,makanan penutup
wkwkkwkw,tertawa
years,tahun
against,melawan
cyber,siber
maks,maksimal
belagu,sombong
perfect,sempurna
block,blokir
number,nomor
dipalakin,dipalak
kemendikbud,kementerian pendidikan dan kebudayaan
ngata,mengatai
lobang,lubang
easy,mudah
thought,pikiran
seleb,selebritas
beyond,melampaui
challenge,tantangan
gaguna,tidak berguna
endonesa,indonesia
gz,gizi
nyocot,asal bicara
nunggak,menunggak
bsar,besar
followers,pengikut
pentingin,pentingkan
salahsatu,salah satu
kpop,pop korea
body,tubuh
nyetir,menyetir
replies,balasan
sikon,situasi dan kondisi
digunain,digunakan
sentris,sentris
memviralkan,memviralkan
walimurid,wali murid
gakmau,tidak mau
biskuat,biskuit
masup,masuk
dimainin,dimainkan
bhan,bahan
saving,tabungan
ngabis,menghabiskan
mboten,tidak
nentang,menentang
elek,jelek
serahin,serahkan
bimbel,bimbingan belajar
yeay,hore
anjjj,anjing
unj,universitas negeri jakarta
ndk,tidak
vintage,klasik
aduin,adukan
nyiyir,menyindir
starting,mulai
naha,kenapa
students,siswa
education,pendidikan
hhhhh,tertawa
maksut,maksud
ngidupin,menghidupkan
ngebatin,membatin
secret,rahasia
ava,foto profil
friend,teman
inhil,indragiri hilir
gragas,rakus
kitu,begitu
pear,pir
muterin,memutari
ngesot,mengesot
version,versi
garagara,gara gara
kabagean,kebagian
merknya,mereknya
kerahin,kerahkan
blacklist,daftar hitam
ngitungnya,menghitungnya
dare,tantangan
ewu,ribu
ketelen,tertelan
ngritik,mengkritik
wkwwk,tertawa
najisss,jijik
pkm,program kreativitas mahasiswa
ajgggg,anjing
wakakaka,tertawa
tulung,tolong
endog,telur
masyakarat,masyarakat
girlfriend,pacar
ancen,memang
masarakat,masyarakat
pokcoy,sawi sendok
espek,ekspektasi
brisik,berisik
ost,lagu tema
realfood,makanan asli
popcorn,berondong jagung
begimana,bagaimana
naro,menaruh
liburrr,libur
prokernya,program kerjanya
franchise,waralaba
irl,di dunia nyata
pajero,mobil pajero
pemerintaj,pemerintah
genetik,genetika
supporter,pendukung
bbg,bahan bakar gas
hestek,tagar
milo,susu milo
stalker,pengintai
becanda,bercanda
dishub,dinas perhubungan
sekre,sekretariat
injek,injak
greenfield,susu greenfields
innalilahi,inna lillahi
wokk,wah
clevo,susu clevo
persija,persija jakarta
domiia,dompet dhuafa
classmeet,pertemuan kelas
rapotan,pembagian rapor
mensuport,mendukung
ultrajaya,susu ultrajaya
melaunching,meluncurkan
sadly,sayangnya
jabo,jabodetabek
luhkan,keluhkan
alakadar,ala kadarnya
seafood,makanan laut
prince,pangeran
inews,inews tv
kampaye,kampanye
custom,kustom
digeneralisir,digeneralisasi
dmpak,dampak
giving,memberi
uki,universitas kristen indonesia
baso,bakso
thumbs,jempol
beuh,wah
sexy,seksi
tul,betul
nyiakan,siakan
pad,pembalut
ganjel,ganjal
enough,cukup
holistik,holistik
okee,oke
question,pertanyaan
transjakarta,transjakarta
ngontrol,mengontrol
bpnt,bantuan pangan non tunai
mengakomodir,mengakomodasi
sodaranya,saudaranya
sumbangin,sumbangkan
njeplak,asal bicara
occrp,proyek pelaporan kejahatan terorganisir dan korupsi
ist,istri
briefing,arahan
oalahh,oalah
takengon,takengon
sange,terangsang
ppkn,pendidikan pancasila dan kewarganegaraan
diwanti,diwanti wanti
moro,tiba tiba
ppi,pasukan pengibar bendera pusaka
petrus,penembak misterius
danlanud,komandan pangkalan udara
aaa,ah
wedding,pernikahan
shooting,syuting
walkot,wali kota
gaslight,manipulasi psikologis
wifi,wifi
tampol,tampar
wamendag,wakil menteri perdagangan
tkw,tenaga kerja wanita
jualin,jualkan
gapenting,tidak penting
makodim,markas komando distrik militer
bacod,banyak bicara
ospek,orientasi studi dan pengenalan kampus
sbn,surat berharga negara
pmd,pemberdayaan masyarakat desa
dikomen,dikomentari
kck,kecil
understanding,pengertian
porgram,program
mbtg,makan bergizi gratis
malut,maluku utara
wef,forum ekonomi dunia
ciliwung,sungai ciliwung
abri,angkatan bersenjata republik indonesia
kupu,kupu kupu
dituker,ditukar
scara,secara
asuu,anjing
otsus,otonomi khusus
factor,faktor
ayok,ayo
wkwkkwkwkw,tertawa
important,penting
dibenahin,dibenahi
crazy,gila
qrt,cuitan kutipan
nyogok,menyuap
mugo,semoga
yaw,ya
mcd,mcdonalds
spj,surat pertanggungjawaban
lantamal,pangkalan utama tni angkatan laut
progamnya,programnya
doh,duh
pasutri,pasangan suami istri
nenteng,menenteng
xixixixi,tertawa
ketulungan,keterlaluan
chatgpt,chatgpt
mayo,mayones
wfh,kerja dari rumah
ppds,program pendidikan dokter spesialis
narsum,narasumber
omsp,operasi militer selain perang
romantisasi,romantisasi
efesien,efisien
unair,universitas airlangga
sign,tanda
yet,belum
juknisnya,petunjuk teknisnya
mukidi,mukidi
born,lahir
perpusnas,perpustakaan nasional
squad,pasukan
mensupport,mendukung
mapping,pemetaan
diponegoro,diponegoro
iwapi,ikatan wanita pengusaha indonesia
banggar,badan anggaran
fight,lawan
glorifikasi,glorifikasi
insane,gila
jobs,pekerjaan
wise,bijak
asline,aslinya
yaumul,hari
dlsb,dan lain sebagainya
xviii,delapan belas
mutus,memutus
kenapasih,kenapa sih
obok,obok obok
danseskoal,komandan sekolah staf dan komando angkatan laut
refocusing,pemusatan kembali
treat,perlakuan
ummah,umat
akalin,akali
ndutt,gendut
nendang,enak sekali
keracuan,keracunan
ignorant,abai
ust,ustaz
boosting,pendorong
equil,air mineral
south,selatan
kampak,kapak
crown,mahkota
pertahanin,pertahankan
kemnaker,kementerian ketenagakerjaan
regime,rezim
lurr,saudara
akmil,akademi militer
lawuh,lauk
because,karena
abrik,abrak
cool,keren
fakyu,sialan
tudei,hari ini
tkn,tim kampanye nasional
mngatasi,mengatasi
bnpp,badan nasional pengelola perbatasan
smt,semester
sehrsnya,seharusnya
mindful,sadar
hold,tahan
cumak,cuma
pkn,pendidikan kewarganegaraan
prudent,hati hati
siji,satu
trobosan,terobosan
ratio,rasio
jackpot,menang besar
govtech,teknologi pemerintah
efektifitas,efektivitas
prabowonya,prabowo
manage,kelola
truss,terus
rkytnya,rakyatnya
lapker,lapangan kerja
wkwkwwk,tertawa
polling,jajak pendapat
musholla,musala
happen,terjadi
eid,idulfitri
solat,salat
programme,program
concert,konser
truly,benar benar
book,buku
pinjem,pinjam
selipin,selipkan
babik,babi
yasin,yasin
investment,investasi
rkyat,rakyat
palma,kelapa sawit
toping,taburan
buzerp,pendengung bayaran
mayar,bayar
palestine,palestina
meet,bertemu
dairy,produk susu
tolongin,tolong
ngegerakin,menggerakkan
mningkatkn,meningkatkan
cpo,minyak kelapa sawit mentah
panasin,panaskan
capital,modal
autopilot,autopilot
mediatempo,tempo
infoin,infokan
children,anak anak
tidk,tidak
bantargebang,bantargebang
hipmi,himpunan pengusaha muda indonesia
winner,pemenang
salmonella,salmonela
kadisdik,kepala dinas pendidikan
product,produk
asesmen,asesmen
culture,budaya
tll,tolol
spek,spesifikasi
goalnya,tujuannya
mbm,makan bergizi
marsma,marsekal pertama
kewirausahaan,kewirausahaan
ukraina,ukraina
taste,rasa
bhabinsa,bintara pembina desa
setkab,sekretariat kabinet
jajanin,jajankan
wassalam,wasalam
selfie,swafoto
bpmp,balai penjaminan mutu pendidikan
chiki,makanan ringan
sakola,sekolah
nutritious,bergizi
csis,center for strategic and international studies
tts,timor tengah selatan
wamendikti,wakil menteri pendidikan tinggi
korlantas,korps lalu lintas
doesn,tidak
scan,pindai
drg,dokter gigi
benerrrr,benar
gabener,tidak benar
cheat,curang
draft,draf
brigpol,brigadir polisi
mass,massal
strategic,strategis
overload,kelebihan beban
manaa,mana
two,dua
quota,kuota
mbgg,makan bergizi gratis
tulul,tolol
spg,pramuniaga
prorgam,program
ngejagain,menjagakan
terbitin,terbitkan
bidpropam,bidang profesi dan pengamanan
betol,betul
manekin,maneken
financial,keuangan
daddy,ayah
central,pusat
incident,insiden
cekidot,silakan cek
priceless,tak ternilai
ngl,sejujurnya
seiklasnya,seikhlasnya
nations,bangsa
multitasking,penugasan ganda
etapi,tetapi
liyane,lainnya
phishing,pengelabuan
diskonbertingkat,diskon bertingkat
bnpt,badan nasional penanggulangan terorisme
luarbiasa,luar biasa
ditraining,dilatih
existing,eksisting
targeting,penargetan
promosiin,promosikan
plkb,petugas lapangan keluarga berencana
bhd,bantuan hidup dasar
send,kirim
grading,penilaian
ums,universitas muhammadiyah surakarta
suspend,tangguhkan
tkp,tempat kejadian perkara
ceritain,ceritakan
emoji,emotikon
bakery,toko roti
rather,agak
key,kunci
trdampak,terdampak
tujuanya,tujuannya
ssgi,survei status gizi indonesia
dicover,ditanggung
store,toko
abk,anak berkebutuhan khusus
buu,bu
tell,beritahu
beritain,beritakan
resources,sumber daya
drpda,daripada
ngehe,sialan
jomplang,timpang
kitong,kita
escolar,ikan escolar
iot,internet of things
goblok,bodoh
gblg,bodoh
tolol,bodoh
dungu,bodoh
bacot,banyak bicara
bct,banyak bicara
anjay,wow
bangsat,kurang ajar
bgst,kurang ajar
bajingan,kurang ajar
jancok,sialan
wtf,kacau
ngentod,kurang ajar
ngentot,kurang ajar
ngewe,kurang ajar
kontol,bajingan
kntl,bajingan
memek,sialan
mmk,sialan
jembut,sampah
lonte,wanita susila
perek,wanita susila
bencong,waria
dipost,diunggah
ketangkep,tertangkap
kesra,kesejahteraan rakyat
waaah,wah
nyieun,membuat
dilaksanain,dilaksanakan
tmnnya,temannya
miras,minuman keras
dance,joget
miskom,miskomunikasi
breakdown,rincian
lecehin,lecehkan
okegas,oke gas
nyuapin,menyuapi
she,dia
attention,perhatian
simply,hanya
presentase,persentase
bundir,bunuh diri
bbrapa,beberapa
anjinkkk,anjing
nyungsep,jatuh
copas,salin tempel
ngawas,mengawasi
kadaluwarsa,kedaluwarsa
mknn,makanan
errornya,galatnya
movie,film
utility,kegunaan
makesense,masuk akal
jilatin,jilati
early,awal
massive,masif
malay,malaysia
nyariin,mencari
jek,ojek
amount,jumlah
segimana,seberapa
dinsos,dinas sosial
qa,tanya jawab
secepet,secepat
hadehh,aduh
ekosob,ekonomi sosial budaya
poor,miskin
nggih,ya
amsyong,hancur
komersil,komersial
ugd,unit gawat darurat
hahhh,hah
blame,salahkan
tmpat,tempat
gwej,saya
digedein,dibesarkan
disajiin,disajikan
trhdp,terhadap
kreta,kereta
ndas,kepala
duidnya,duitnya
dichat,dikirim pesan
fmcg,barang konsumen
najong,najis
alhmdulillah,alhamdulillah
reason,alasan
drakor,drama korea
jamkos,jam kosong
telek,tahi
second,bekas
hahahha,tertawa
guaaa,saya
spagetti,spageti
njenengan,anda
urang,saya
professional,profesional
ewh,jijik
catet,catat
betull,betul
rapihin,rapikan
pucet,pucat
koplok,bodoh
echo,gema
cekokin,cekoki
dikasihin,diberikan
piro,berapa
nggerakin,menggerakkan
apdet,pembaruan
career,karier
loro,sakit
hadeeh,aduh
biasane,biasanya
munggah,naik
kancaku,temanku
telen,telan
wey,hei
devil,iblis
hih,ih
jobless,pengangguran
badmood,suasana hati buruk
doing,melakukan
yanh,yang
mentality,mentalitas
diupload,diunggah
gatel,gatal
higenitas,higienitas
mhs,mahasiswa
nangani,menangani
mmbuat,membuat
ghoib,gaib
round,ronde
tuuuh,tuh
wonder,heran
empowerment,pemberdayaan
prakerja,kartu prakerja
range,kisaran
tuhkan,tuh kan
bohir,pemodal
capable,mampu
those,itu
nope,tidak
memory,memori
bukann,bukan
desas,desus
ibukku,ibuku
tenangin,tenangkan
umpetin,sembunyikan
raskin,beras miskin
approved,disetujui
adoh,aduh
dibere,diberi
telfon,telepon
little,kecil
mmilih,memilih
smntra,sementara
sedino,sehari
paak,pak
naskun,nasi kuning
everyday,setiap hari
maguire,blunder
haruse,harusnya
bsr,besar
mentab,mantap
nde,di
dikei,diberi
sister,saudari
jelass,jelas
says,bilang
ganyampe,tidak sampai
lejen,legenda
whossh,kereta cepat whoosh
whiskas,makanan kucing
tandain,tandai
funfact,fakta unik
entuh,itu
buibu,ibu ibu
terosss,terus
chapter,bab
ngancurin,menghancurkan
ngusut,mengusut
emgnya,memangnya
ngiket,mengikat
bnerin,benarkan
tapteng,tapanuli tengah
akuin,akui
ngeruk,mengeruk
kocakkkk,kocak
mine,milikku
bks,bungkus
penyefonk,penjilat
woh,wah
krj,kerja
magical,ajaib
jink,anjing
awokwok,tertawa
tangkot,tangerang kota
kntol,bajingan
alfamart,minimarket
whoose,kereta cepat whoosh
drink,minum
degdegan,berdebar
nyalurin,menyalurkan
brilink,agen brilink
reset,atur ulang
backingan,bekingan
maknya,ibunya
libatin,libatkan
duitt,duit
fake,palsu
delay,tunda
dsaat,di saat
gamungkin,tidak mungkin
anjjjj,anjing
champion,juara
trnyta,ternyata
kwkwkwk,tertawa
gaiso,tidak bisa
bgttttt,banget
lhoooo,lho
land,tanah
racing,balapan
gakan,tidak akan
blind,buta
kepsekku,kepala sekolahku
spoiler,bocoran
yhh,ya
might,mungkin
serakahnomic,ekonomi serakah
disamperin,didatangi
dibangunin,dibangunkan
mabar,main bareng
yhhh,ya
niy,nih
buuu,bu
backingannya,bekingannya
tkg,tukang
menkum,menteri hukum
lumba,lumba lumba
dutchmill,yoghurt
omeprazole,obat maag
geter,getar
already,sudah
duwe,punya
bcs,karena
bnbp,badan nasional penanggulangan bencana
mubajir,mubazir
ditsamapta,direktorat samapta
obses,obsesi
freming,pembingkaian
diksih,dikasih
pepera,penentuan pendapat rakyat
choco,cokelat
pakenya,pakainya
pictures,gambar
tatakelola,tata kelola
gurune,gurunya
katany,katanya
kabarin,kabari
ngelap,mengelap
gaslighting,manipulasi psikologis
gwejh,saya
hq,markas besar
bersukur,bersyukur
infocimahi,info cimahi
kopassus,komando pasukan khusus
silver,perak
jazeera,al jazeera
yellowfit,katering diet
datangin,datangi
ten,sepuluh
nelen,menelan
dimurahin,dimurahkan
exchange,pertukaran
hater,pembenci
polantas,polisi lalu lintas
dpmg,dinas pemberdayaan masyarakat gampong
hahh,hah
prison,penjara
berekspektasi,berekspektasi
kadrun,kadal gurun
topp,top
nuwun,terima kasih
toss,tos
gesss,kawan
algoritma,algoritma
unismuh,universitas muhammadiyah
gijinya,gizinya
economist,ekonom
sunnah,sunah
ppt,presentasi
yuhuuu,halo
guyssss,kawan
especially,terutama
eng,inggris
kasdam,kepala staf daerah militer
scbd,sudirman central business district
kemenlu,kementerian luar negeri
veronica,veronica tan
problematika,problematika
ptg,penting
miftah,miftah maulana
ntuk,untuk
tribunnews,tribun news
nengah,menengah
turki,turki
jowo,jawa
viva,viva
dimitigasi,dimitigasi
memitigasi,memitigasi
kwkwkw,tertawa
infografik,infografis
shodaqoh,sedekah
endi,mana
promag,obat maag
bijimane,bagaimana
spend,menghabiskan
syamsul,gibran rakabuming raka
kornas,koordinator nasional
dhuafa,duafa
mecat,memecat
sng,senang
yaopo,bagaimana
grib,gerakan rakyat indonesia bersatu
goto,gojek tokopedia
pansus,panitia khusus
lue,kamu
subsektor,subsektor
equal,setara
blokkk,bodoh
okeh,oke
busett,buset
pikuk,pikuk
fishy,mencurigakan
kartini,kartini
unisa,universitas aisyiyah
nabok,menabok
general,umum
ikm,industri kecil menengah
asnaf,asnaf
diomelin,dimarahi
kontolll,bajingan
ate,makan
ashabul,ashabul
hayoo,hayo
bagun,bangun
jauhhhh,jauh
company,perusahaan
pendanaanya,pendanaannya
pay,bayar
count,hitung
ngluarin,mengeluarkan
mukul,memukul
bpmi,badan perlindungan pekerja migran indonesia
camera,kamera
dimna,di mana
hadeuhh,aduh
argentina,argentina
nambal,menambal
cathering,katering
padhal,padahal
majority,mayoritas
dipapua,di papua
kostrad,komando cadangan strategis angkatan darat
tuud,tata usaha urusan dalam
isue,isu
khutbah,khotbah
smsi,serikat media siber indonesia
questionable,dipertanyakan
hall,aula
dewantoro,ki hajar dewantara
nyeplos,asal bicara
gabikin,tidak membuat
salamae,selamat
nakut,menakut
direct,langsung
hedon,hedonis
mampang,mampang
street,jalan
mbeg,makan bergizi gratis
tpnpb,tentara pembebasan nasional papua barat
fear,takut
mabes,markas besar
fullday,seharian
thoughts,pemikiran
ite,informasi dan transaksi elektronik
professor,profesor
tempodotco,tempo
shows,pertunjukan
bop,biaya operasional pendidikan
akhmad,ahmad
pmrintah,pemerintah
klaster,kluster
cui,cuih
gahabis,tidak habis
warmindo,warung makan indomie
yppk,yayasan pendidikan persekolahan katolik
anggran,anggaran
nyedian,menyediakan
kemen,kementerian
indog,indonesia
mbieb,habib
jogging,joging
kominfo,kementerian komunikasi dan informatika
koordinir,koordinasi
ustadzah,ustazah
choose,pilih
cilandak,cilandak
adah,ada
understand,mengerti
hadehhhh,aduh
suir,suwir
lpj,laporan pertanggungjawaban
membludak,membeludak
akarta,jakarta
nyepelein,menyepelekan
gituloh,begitu lho
bagimana,bagaimana
prepared,siap
krakatau,krakatau
worse,lebih buruk
xiv,empat belas
setujuu,setuju
konawe,konawe
wall,dinding
menpanrb,menteri pendayagunaan aparatur negara dan reformasi birokrasi
sppnya,sumbangan pembinaan pendidikan nya
ultimate,pamungkas
logistic,logistik
trikora,tri komando rakyat
indonesi,indonesia
pdam,perusahaan daerah air minum
kenyangin,kenyangkan
critical,kritis
trnyt,ternyata
listing,daftar
zimbabwe,zimbabwe
sebby,sebby sambom
eak,cia
smpit,sekolah menengah pertama islam terpadu
jasra,jasra putra
ash,abu
layoff,pemutusan hubungan kerja
rispek,respek
effisiensi,efisiensi
mlarat,melarat
middle,tengah
ehem,hem
paradox,paradoks
nerimo,menerima
sabodo,masa bodoh
gib,gibran rakabuming raka
governments,pemerintah
ksau,kepala staf angkatan udara
solsel,solok selatan
luwuk,luwuk
dilibatin,dilibatkan
dansat,komandan satuan
lembong,tom lembong
gank,geng
drive,dorong
sch,sekolah
karepe,maunya
pamulang,pamulang
mempawah,mempawah
ypk,yayasan pendidikan kristen
palabuhanratu,pelabuhan ratu
mapolres,markas kepolisian resor
mahasewa,mahasiswa
suzuki,suzuki
efisensi,efisiensi
wooy,hei
sosoan,sok sokan
wkwkwkwkkw,tertawa
kaesang,kaesang pangarep
irt,ibu rumah tangga
porli,polri
sulawasei,sulawesi
barangin,barengi
kanisius,kanisius
tubaba,tulang bawang barat
seksama,saksama
ngombe,minum
itwasda,inspektorat pengawasan daerah
kbp,komisaris besar polisi
wkwkkwwk,tertawa
jahannam,jahanam
maksutnya,maksudnya
gemukin,gemukkan
freedom,kebebasan
pagiiii,pagi
imingi,iming imingi
timika,timika
sido,jadi
kinda,agak
wealth,kekayaan
krayan,krayan
prpgram,program
diskominfo,dinas komunikasi dan informatika
inc,perusahaan
ngibulin,membohongi
devisit,defisit
ldii,lembaga dakwah islam indonesia
mamuju,mamuju
ndasmuu,kepalamu
ribetin,ribetkan
dllnya,dan lain lainnya
betawi,betawi
flash,kilat
assalamuallaikum,assalamualaikum
koo,kok
pakkk,pak
marves,kemaritiman dan investasi
rank,peringkat
whatever,terserah
alerta,waspada
yasudah,ya sudah
klopun,kalaupun
thingking,berpikir
muu,mu
yaaak,ya
anyone,siapapun
able,mampu
progeam,program
mindahin,memindahkan
beler,mabuk
int,internasional
impactnya,dampaknya
uprit,sedikit
koentji,kunci
tariff,tarif
alien,asing
tkdn,tingkat komponen dalam negeri
yoi,ya
kongkrit,konkret
hkti,himpunan kerukunan tani indonesia
turah,sisa
bozz,bos
brhenti,berhenti
tks,terima kasih
aih,aduh
mugi,semoga
dapett,dapat
ping,panggil
gultik,gulai tikungan
bireuen,bireuen
sarolangun,sarolangun
mngurangi,mengurangi
flick,sentil
skh,surat kabar harian
diajakin,diajak
dengn,dengan
ragunan,ragunan
maksute,maksudnya
didu,said didu
speech,pidato
makane,makanya
va,akun virtual
daridulu,dari dulu
menaker,menteri ketenagakerjaan
yasinan,pengajian
glorifying,mengagung agungkan
nyetrika,menyetrika
mendpt,mendapat
singaparna,singaparna
sugeng,selamat
karirnya,kariernya
krupuk,kerupuk
brtujuan,bertujuan
mnjamin,menjamin
ipo,penawaran umum perdana
kalbarsatu,kalimantan barat satu
masyarkat,masyarakat
cipayung,cipayung
kyuris,qris
rasanae,rasanya
infrastructure,infrastruktur
nuclear,nuklir
dawg,kawan
polut,polusi udara
menyiapkn,menyiapkan
dimanaa,di mana
replynya,balasannya
goodie,bingkisan
kankemenag,kantor kementerian agama
yai,kiai
forkopimkap,forum koordinasi pimpinan kapanewon
menegaskn,menegaskan
pmbagian,pembagian
untalen,telanlah
wave,gelombang
bodohin,bodohi
computer,komputer
pond,kolam
harimurti,agus harimurti yudhoyono
myanmar,myanmar
gift,hadiah
glory,kejayaan
cocot,mulut
screening,penapisan
ngehek,sialan
sebener,sebenarnya
assessment,penilaian
gawean,pekerjaan
majapahit,majapahit
makasii,terima kasih
pertanggungjawabannya,pertanggungjawabannya
ckckckck,berdecak
muhamad,muhammad
anshor,ansor
tohir,erick thohir
urgently,mendesak
tumbuhin,tumbuhkan
kakanwil,kepala kantor wilayah
dkung,dukung
mvp,pemain terbaik
aliyah,madrasah aliyah
kpda,kepada
diknas,dinas pendidikan nasional
padal,perwira pengendali
gocengan,lima ribuan
rmi,rabithah maahid islamiyah
amnesty,amnesti
baleg,badan legislasi
wakapolrestabes,wakil kepala kepolisian resor kota besar
darderdor,bunyi tembakan
uks,usaha kesehatan sekolah
taikk,tahi
settle,menetap
maljum,malam jumat
aslap,asisten lapangan
kontinyu,kontinu
rsj,rumah sakit jiwa
tudak,tidak
mbgs,makan bergizi gratis
enzyme,enzim
tentrem,tentram
akunting,akuntansi
sebarin,sebarkan
wilker,wilayah kerja
jutaaan,jutaan
kabidpropam,kepala bidang profesi dan pengamanan
health,kesehatan
rohil,rokan hilir
masterchef,masterchef
joke,lelucon
puthul,larva
fourth,keempat
banper,bantuan pemerintah
regis,registrasi
montong,durian montong
apps,aplikasi
pmm,pengabdian masyarakat oleh mahasiswa
bodyvestment,investasi tubuh
hmi,himpunan mahasiswa islam
mugiyanto,mugiyanto sipin
ngge,ya
memilki,memiliki
mberikan,memberikan
storage,penyimpanan
agenbrilink,agen brilink
bsu,bantuan subsidi upah
kudet,kurang informasi
zombienya,zombinya
forkompincam,forum komunikasi pimpinan kecamatan
chamber,bilik
nyatain,nyatakan
ngunui,begitu
phising,pengelabuan
yordania,yordania
helvetia,helvetia
glowing,bersinar
bidhumas,bidang hubungan masyarakat
mbgpreneur,wirausaha makan bergizi gratis
marsinah,marsinah
shortage,kelangkaan
formazi,forum mahasiswa gizi
every,setiap
mendem,mabuk
cause,karena
ngepush,mendorong
boomers,orang tua
bnsp,badan nasional sertifikasi profesi
ngeremehin,meremehkan
half,setengah
harusny,harusnya
vit,vitamin
quest,pencarian
nyelipin,menyelipkan
nguatkan,menguatkan
sekolahe,sekolahnya
shame,malu
nyelonong,menyelonong
pondasinya,fondasinya
smile,senyum
perform,kinerja
malfunction,malafungsi
nuker,menukar
night,malam
majeure,keadaan kahar
jpg,format gambar
pkbm,pusat kegiatan belajar masyarakat
menunjukkn,menunjukkan
sppb,surat persetujuan pengeluaran barang
idn,indonesia
cuekin,acuhkan
mbulet,berbelit belit
closed,tutup
intolerant,intoleran
rakjat,rakyat
ngupas,mengupas
dijejelin,dijejali
